ts_iso,temp_c,humidity
PT0h47m27s,17.90,65.20
PT0h47m30s,17.90,65.20
PT0h47m33s,17.90,65.20
PT0h47m36s,17.90,65.20
PT0h47m39s,17.90,65.20
PT0h47m42s,17.90,65.20
PT0h47m45s,17.90,65.20
PT0h47m48s,17.90,65.20
PT0h47m51s,17.90,65.20
PT0h47m54s,17.90,65.20
PT0h47m57s,17.90,65.30
PT0h48m0s,17.90,65.30
PT0h48m3s,17.90,65.30
PT0h48m6s,17.90,65.40
PT0h48m9s,17.90,65.40
PT0h48m12s,17.90,65.40
PT0h48m15s,17.90,65.30
PT0h48m18s,17.90,65.30
PT0h48m21s,17.90,65.30
PT0h48m24s,17.90,65.20
PT0h48m27s,17.90,65.20
PT0h48m30s,17.90,65.20
PT0h48m33s,17.90,65.20
PT0h48m36s,17.90,65.20
PT0h48m39s,17.90,65.20
PT0h48m42s,17.90,65.20
PT0h48m45s,17.90,65.20
PT0h48m48s,17.90,65.10
PT0h48m51s,17.90,65.10
PT0h48m54s,17.90,65.10
PT0h48m57s,17.90,65.10
PT0h49m0s,17.90,65.20
PT0h49m3s,17.90,65.20
PT0h49m6s,17.90,65.10
PT0h49m9s,17.90,65.20
PT0h49m12s,17.90,65.10
PT0h49m15s,17.90,65.10
PT0h49m18s,17.90,65.10
PT0h49m21s,17.90,65.10
PT0h49m24s,17.90,65.10
PT0h49m27s,17.90,65.10
PT0h49m30s,17.90,65.10
PT0h49m33s,17.90,65.10
PT0h49m36s,17.90,65.10
PT0h49m39s,17.90,65.10
PT0h49m42s,17.90,65.10
PT0h49m45s,17.90,65.10
PT0h49m48s,17.90,65.10
PT0h49m51s,17.90,65.10
PT0h49m54s,17.90,65.10
PT0h49m57s,17.90,65.00
PT0h50m0s,17.90,65.00
PT0h50m3s,17.90,65.00
PT0h50m6s,17.90,65.00
PT0h50m9s,17.90,65.00
PT0h50m12s,17.90,65.00
PT0h50m15s,17.90,65.00
PT0h50m18s,17.90,65.10
PT0h50m21s,17.90,65.10
PT0h50m24s,17.90,65.10
PT0h50m27s,17.90,65.10
PT0h50m30s,17.90,65.10
PT0h50m33s,17.90,65.10
PT0h50m36s,17.90,65.10
PT0h50m39s,17.90,65.10
PT0h50m42s,17.90,65.10
PT0h50m45s,17.90,65.10
PT0h50m48s,17.90,65.10
PT0h50m51s,17.90,65.10
PT0h50m54s,17.90,65.10
PT0h50m57s,17.90,65.10
PT0h51m0s,17.90,65.10
PT0h51m3s,17.90,65.10
PT0h51m6s,17.90,65.10
PT0h51m9s,17.90,65.10
PT0h51m12s,17.90,65.10
PT0h51m15s,17.90,65.10
PT0h51m18s,17.90,65.10
PT0h51m21s,17.90,65.00
PT0h51m24s,17.90,65.10
PT0h51m27s,17.90,65.10
PT0h51m30s,17.90,65.10
PT0h51m33s,17.90,65.10
PT0h51m36s,17.90,65.10
PT0h51m39s,17.90,65.10
PT0h51m42s,17.90,65.10
PT0h51m45s,17.90,65.10
PT0h51m48s,17.90,65.10
PT0h51m51s,17.90,65.10
PT0h51m54s,17.90,65.00
PT0h51m57s,17.90,65.10
PT0h52m0s,18.00,65.10
PT0h52m3s,18.00,65.10
PT0h52m6s,17.90,65.10
PT0h52m9s,17.90,65.10
PT0h52m12s,17.90,65.10
PT0h52m15s,17.90,65.00
PT0h52m18s,17.90,65.10
PT0h52m21s,17.90,65.10
PT0h52m24s,17.90,65.10
PT0h52m27s,17.90,65.10
PT0h52m30s,17.90,65.10
PT0h52m33s,17.90,65.10
PT0h52m36s,17.90,65.10
PT0h52m39s,17.90,65.10
PT0h52m42s,17.90,65.10
PT0h52m45s,18.00,65.10
PT0h52m48s,17.90,65.10
PT0h52m51s,17.90,65.10
PT0h52m54s,17.90,65.10
PT0h52m57s,18.00,65.10
PT0h53m0s,17.90,65.00
PT0h53m3s,18.00,65.10
PT0h53m6s,18.00,65.00
PT0h53m9s,17.90,65.00
PT0h53m12s,17.90,65.00
PT0h53m15s,18.00,65.00
PT0h53m18s,18.00,65.10
PT0h53m21s,17.90,65.20
PT0h53m24s,18.00,65.10
PT0h53m27s,18.00,65.10
PT0h53m30s,17.90,65.10
PT0h53m33s,18.00,65.10
PT0h53m36s,18.00,65.00
PT0h53m39s,18.00,65.00
PT0h53m42s,17.90,65.10
PT0h53m45s,18.00,65.10
PT0h53m48s,18.00,65.10
PT0h53m51s,18.00,65.00
PT0h53m54s,18.00,65.00
PT0h53m57s,18.00,65.00
PT0h54m0s,18.00,65.00
PT0h54m3s,18.00,65.00
PT0h54m6s,18.00,65.00
PT0h54m9s,18.00,65.00
PT0h54m12s,18.00,64.90
PT0h54m15s,18.00,65.00
PT0h54m18s,18.00,64.90
PT0h54m21s,18.00,64.90
PT0h54m24s,18.00,64.90
PT0h54m27s,18.00,64.90
PT0h54m30s,18.00,64.90
PT0h54m33s,18.00,64.90
PT0h54m36s,18.00,64.90
PT0h54m39s,18.00,64.90
PT0h54m42s,18.00,64.80
PT0h54m45s,18.00,64.90
PT0h54m48s,18.00,64.80
PT0h54m51s,18.00,64.80
PT0h54m54s,18.00,64.80
PT0h54m57s,18.00,64.80
PT0h55m0s,18.00,64.80
PT0h55m3s,18.00,64.80
PT0h55m6s,18.00,64.80
PT0h55m9s,18.00,64.80
PT0h55m12s,18.00,64.80
PT0h55m15s,18.00,64.80
PT0h55m18s,18.00,64.80
PT0h55m21s,18.00,64.80
PT0h55m24s,18.00,64.80
PT0h55m27s,18.00,64.80
PT0h55m30s,18.00,64.80
PT0h55m33s,18.00,64.80
PT0h55m36s,18.00,64.80
PT0h55m39s,18.00,64.80
PT0h55m42s,18.00,64.80
PT0h55m45s,18.00,64.80
PT0h55m48s,18.00,64.80
PT0h55m51s,18.00,64.80
PT0h55m54s,18.00,64.80
PT0h55m57s,18.00,64.80
PT0h56m0s,18.00,64.80
PT0h56m3s,18.00,64.80
PT0h56m6s,18.10,64.80
PT0h56m9s,18.00,64.80
PT0h56m12s,18.00,64.70
PT0h56m15s,18.10,64.80
PT0h56m18s,18.00,64.70
PT0h56m21s,18.00,64.80
PT0h56m24s,18.00,64.80
PT0h56m27s,18.00,64.80
PT0h56m30s,18.00,64.80
PT0h56m33s,18.00,64.80
PT0h56m36s,18.00,64.80
PT0h56m39s,18.00,64.80
PT0h56m42s,18.00,64.80
PT0h56m45s,18.00,64.80
PT0h56m48s,18.00,64.70
PT0h56m51s,18.10,64.70
PT0h56m54s,18.00,64.70
PT0h56m57s,18.00,64.70
PT0h57m0s,18.10,64.60
PT0h57m3s,18.00,64.70
PT0h57m6s,18.00,64.60
PT0h57m9s,18.00,64.60
PT0h57m12s,18.00,64.60
PT0h57m15s,18.10,64.60
PT0h57m18s,18.10,64.60
PT0h57m21s,18.10,64.60
PT0h57m24s,18.10,64.60
PT0h57m27s,18.10,64.60
PT0h57m30s,18.10,64.70
PT0h57m33s,18.10,64.70
PT0h57m36s,18.10,64.70
PT0h57m39s,18.00,64.70
PT0h57m42s,18.00,64.60
PT0h57m45s,18.10,64.70
PT0h57m48s,18.00,64.60
PT0h57m51s,18.10,64.60
PT0h57m54s,18.10,64.60
PT0h57m57s,18.10,64.60
PT0h58m0s,18.00,64.60
PT0h58m3s,18.10,64.60
PT0h58m6s,18.10,64.60
PT0h58m9s,18.10,64.60
PT0h58m12s,18.10,64.60
PT0h58m15s,18.10,64.60
PT0h58m18s,18.10,64.60
PT0h58m21s,18.10,64.60
PT0h58m24s,18.10,64.60
PT0h58m27s,18.10,64.60
PT0h58m30s,18.10,64.60
PT0h58m33s,18.10,64.60
PT0h58m36s,18.10,64.60
PT0h58m39s,18.10,64.60
PT0h58m42s,18.10,64.60
PT0h58m45s,18.10,64.60
PT0h58m48s,18.10,64.60
PT0h58m51s,18.10,64.60
PT0h58m54s,18.10,64.60
PT0h58m57s,18.10,64.50
PT0h59m0s,18.10,64.50
PT0h59m3s,18.10,64.50
PT0h59m6s,18.10,64.50
PT0h59m9s,18.10,64.50
PT0h59m12s,18.10,64.50
PT0h59m15s,18.10,64.50
PT0h59m18s,18.10,64.50
PT0h59m21s,18.10,64.50
PT0h59m24s,18.10,64.50
PT0h59m27s,18.10,64.60
PT0h59m30s,18.10,64.50
PT0h59m33s,18.10,64.50
PT0h59m36s,18.10,64.60
PT0h59m39s,18.10,64.50
PT0h59m42s,18.10,64.50
PT0h59m45s,18.10,64.50
PT0h59m48s,18.10,64.60
PT0h59m51s,18.10,64.50
PT0h59m54s,18.10,64.60
PT0h59m57s,18.10,64.60
PT1h0m0s,18.10,64.60
PT1h0m3s,18.10,64.60
PT1h0m6s,18.10,64.60
PT1h0m9s,18.10,64.60
PT1h0m12s,18.10,64.60
PT1h0m15s,18.10,64.60
PT1h0m18s,18.10,64.60
PT1h0m21s,18.10,64.60
PT1h0m24s,18.10,64.70
PT1h0m27s,18.10,64.70
PT1h0m30s,18.10,64.70
PT1h0m33s,18.10,64.90
PT1h0m36s,18.10,64.90
PT1h0m39s,18.10,64.90
PT1h0m42s,18.10,64.80
PT1h0m45s,18.10,64.80
PT1h0m48s,18.10,64.80
PT1h0m51s,18.10,64.80
PT1h0m54s,18.10,64.70
PT1h0m57s,18.10,64.70
PT1h1m0s,18.10,64.80
PT1h1m3s,18.10,64.80
PT1h1m6s,18.10,64.80
PT1h1m9s,18.10,64.80
